nombreestablecimiento,zona,niveles,especialidad,grados,modelos_Educativos,capacidades_Excepcionales,idiomas
COL SANTA ANA                                                                                       ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL TOMAS ALVA EDISON                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
INST DE INTEGRACION CULTURAL IDIC                                                                   ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COLEGIO ERNESTO GUHL,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL LA ESPERANZA DEL MAÑANA                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL GIMN ROMANO MIXTO                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL CRISTIANO GRACIA Y AMOR,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL DE LAS HIJAS DE MARIA DE LAS ESCLAVAS                                                           ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL CLARETIANO EL LIBERTADOR                                                              ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
INST IDEOLOGICO CREATIVO                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL INTERAMERICANO                                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL JOSE JOAQUIN CASTRO MARTINEZ                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,
COL JOSE MARIA VERGARA Y VERGARA                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL JOSE MANUEL MARROQUIN                                                                           ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL JUAN RULFO                                                                                      ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL LAZARILLO DE TORMES                                                                             ,URBANA,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL MAYOR DEL CLARET                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL MAYOR DEL QUIROGA  (TALLER INF QUIROGA)                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL MILIT ANTONIO NARIÑO,URBANA,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL MODERNO ENGATIVA                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL MODERNO AMERICANO                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
LIC MODERNO SANTA EMILIA                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL NEIL ARMSTRONG                                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMERCIAL,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL LA NUEVA ESTANCIA                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL NSTRA SRA DE LORETO                                                                             ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL NUEVA YORK E.U.                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN COLOMBO ANDINO,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,21,99","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,
COL COLOMBO BRIGHTON,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL COLOMBO INGLES                                                                                  ,URBANA,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"1,4,5,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL COLOMBO INTERNACIONAL ACOINPREV                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"INGLÉS,FRANCES"
COL PAE (PROCESO ALTERNATIVO EDUCATIVO)                                                             ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL PSICOPEDAG AMERICANO DEL SUR                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMERCIAL,ACADÉMICA","-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,17",EDUCACIÓN TRADICIONAL,,
COL SUR ORIENTAL PANAMERICANO                                                                       ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL PARROQ SAN JUAN BAUTISTA DE LA SALLE                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL GIOVANNI PASCOLI (ANTIGUO COL NSTRA SRA DE LOS DOLORES)                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL EL PRADO                                                                                        ,URBANA,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,"INGLÉS,FRANCES"
COL RAFAEL MARIA CARRASQUILLA                                                                       ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL ANTONIO RICAURTE DE CIUDAD PIAMONTE                                                             ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMERCIAL,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL DE ADMON ROBERT OWEN                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL PSICOPEDAG LA SABIDURIA                                                                     ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL SAN ISIDRO                                                                                      ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL SANTA MARIA DE LA PAZ                                                                           ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL DE SAN ALBERTO MAGNO                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COLEGIO SAN ANGEL,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL SAN BONIFACIO                                                                                   ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL SANTA CATALINA DEL SUR ORIENTE                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL SANTA CECILIA                                                                                   ,URBANA,"PREESCOLAR,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,14,99",EDUCACIÓN TRADICIONAL,,
GIMN SANTANDER                                                                                      ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11,14,15,18,99","EDUCACIÓN TRADICIONAL,ACELERACIÓN DEL APRENDIZAJE",,INGLÉS
COL DEL SANTISIMO SACRAMENTO                                                                        ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL SANTA ISABEL DE HUNGRIA                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL SOLES DEL SABER                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL SUMAPAZ                                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL VAN LEEUWENHOEK                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13",EDUCACIÓN TRADICIONAL,,INGLÉS
COL PSICOPEDAG VILLAVERDES                                                                          ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL DE FORMACION INTEGRAL VIRGEN DE LA PEÑA                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL MILIT SIMON BOLIVAR                                                                             ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,
COL NUEVA ALIANZA INTEGRAL,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN SANTA CRISTINA DE TOSCANA                                                                      ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL ALEXANDER HUMBOLDT                                                                              ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,
INST ANZOATEGUI                                                                                     ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL SAN PATRICIO                                                                                    ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA,PRIMERA INFANCIA",ACADÉMICA,"-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR NO ESCOLARIZADO/SEMIESCOLARIZADO   ,EDUCACIÓN TRADICIONAL",,INGLÉS
GIMN LOS ROBLES                                                                                     ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL PSICOPEDAG ERASMO DE ROTHERDAM                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN CECIL REDDIE                                                                                   ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL CULT SAN DIEGO                                                                                  ,URBANA,"MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL CIAL VILLA MARIA                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11,14",EDUCACIÓN TRADICIONAL,,INGLÉS
INST ALBERTO MERANI                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL MONTFERRI                                                                                       ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
LIC NORMANDIA                                                                                       ,URBANA,"MEDIA,BÁSICA SECUNDARIA",ACADÉMICA,"6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL EDGAR SALAMANCA AFRICANO EDSALAM AFRIC                                                          ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,INGLÉS
COL DE FORMACION INTEGRAL MUNDO NUEVO                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
COL EL GRAN BRITALIA                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMERCIAL,ACADÉMICA","0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
LIC DAMFUS                                                                                          ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
LIC  MANUEL ELKIN PATARROYO                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COLEGIO EMMANUEL,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
ESC PEDAGOGICA EXPERIMENTAL                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL EL ESCORIAL                                                                                     ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","COMERCIAL,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
EXTERN CARO Y CUERVO                                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,FRANCES
EXTERN PORFIRIO BARBA JACOB                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA","INDUSTRIAL,COMERCIAL,ACADÉMICA","-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,
LIC  PIÑEROS CORTES                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11","PREESCOLAR ESCOLARIZADO_,EDUCACIÓN TRADICIONAL",,INGLÉS
FUND COL VISION INFANTIL                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL REUVEN FEUERSTEIN                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
LIC FORMACION EDUC PERSONALIZADA                                                                    ,URBANA,"MEDIA,BÁSICA SECUNDARIA",ACADÉMICA,"6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
LIC LA ESPAÑOLA GABRIEL ANZOLA GOMEZ                                                                ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN ARTISTICO SUBA                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN CAMPESTRE  ESCALEMOS                                                                           ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
COL GIMN LA SALETTE                                                                                 ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN CRISTIANO ADONAI                                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMNASIO CAMPESTRE STEPHEN HAWKING,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,TALENTO SUBJETIVO/ARTÍSTICO,
GIMN EMILIO DE BRIGARD                                                                              ,URBANA,"MEDIA,BÁSICA SECUNDARIA",ACADÉMICA,"6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,HEBREO
GIMN LAS PALMAS                                                                                     ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN GENERACION DEL FUTURO                                                                          ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN INF GUATIQUIA                                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN COLOMBIANO DEL SUR                                                                             ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN LOS ANDES                                                                                      ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN CAMPESTRE LA SABANA                                                                            ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,FRANCES
GIMN CULT LIBERTAD                                                                                  ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN PSICOPEDAG MARIA ISABEL                                                                        ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN MIX MANUEL DEL SOCORRO RODRIGUEZ                                                               ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,INGLÉS
GIMN SAN JOSE                                                                                       ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN BOSQUES DEL NOGAL                                                                              ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"-2,-1,0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
GIMN BOYACA                                                                                         ,URBANA,"PREESCOLAR,MEDIA,BÁSICA SECUNDARIA,BÁSICA PRIMARIA",ACADÉMICA,"0,1,2,3,4,5,6,7,8,9,10,11",EDUCACIÓN TRADICIONAL,,
